gender,race/ethnicity,parental level of education,lunch,math score,reading score,writing score,Target
female,group B,bachelor's degree,standard,72,72,74,none
female,group C,some college,standard,69,90,88,completed
female,group B,master's degree,standard,90,95,93,none
male,group A,associate's degree,free/reduced,47,57,44,none
male,group C,some college,standard,76,78,75,none
female,group B,associate's degree,standard,71,83,78,none
female,group B,some college,standard,88,95,92,completed
male,group B,some college,free/reduced,40,43,39,none
male,group D,high school,free/reduced,64,64,67,completed
female,group B,high school,free/reduced,38,60,50,none
male,group C,associate's degree,standard,58,54,52,none
male,group D,associate's degree,standard,40,52,43,none
female,group B,high school,standard,65,81,73,none
male,group A,some college,standard,78,72,70,completed
female,group A,master's degree,standard,50,53,58,none
female,group C,some high school,standard,69,75,78,none
male,group C,high school,standard,88,89,86,none
female,group B,some high school,free/reduced,18,32,28,none
male,group C,master's degree,free/reduced,46,42,46,completed
female,group C,associate's degree,free/reduced,54,58,61,none
male,group D,high school,standard,66,69,63,none
female,group B,some college,free/reduced,65,75,70,completed
male,group D,some college,standard,44,54,53,none
female,group C,some high school,standard,69,73,73,none
male,group D,bachelor's degree,free/reduced,74,71,80,completed
male,group A,master's degree,free/reduced,73,74,72,none
male,group B,some college,standard,69,54,55,none
female,group C,bachelor's degree,standard,67,69,75,none
male,group C,high school,standard,70,70,65,none
female,group D,master's degree,standard,62,70,75,none
female,group D,some college,standard,69,74,74,none
female,group B,some college,standard,63,65,61,none
female,group E,master's degree,free/reduced,56,72,65,none
male,group D,some college,standard,40,42,38,none
male,group E,some college,standard,97,87,82,none
male,group E,associate's degree,standard,81,81,79,completed
female,group D,associate's degree,standard,74,81,83,none
female,group D,some high school,free/reduced,50,64,59,none
female,group D,associate's degree,free/reduced,75,90,88,completed
male,group B,associate's degree,free/reduced,57,56,57,none
male,group C,associate's degree,free/reduced,55,61,54,none
female,group C,associate's degree,standard,58,73,68,none
female,group B,associate's degree,standard,53,58,65,none
male,group B,some college,free/reduced,59,65,66,completed
female,group E,associate's degree,free/reduced,50,56,54,none
male,group B,associate's degree,standard,65,54,57,none
female,group A,associate's degree,standard,55,65,62,completed
female,group C,high school,standard,66,71,76,none
female,group D,associate's degree,free/reduced,57,74,76,completed
male,group C,high school,standard,82,84,82,completed
male,group E,some college,standard,53,55,48,none
male,group E,associate's degree,free/reduced,77,69,68,completed
male,group C,some college,standard,53,44,42,none
male,group D,high school,standard,88,78,75,none
female,group C,some high school,free/reduced,71,84,87,completed
female,group C,high school,free/reduced,33,41,43,none
female,group E,associate's degree,standard,82,85,86,completed
male,group D,associate's degree,standard,52,55,49,none
male,group D,some college,standard,58,59,58,completed
female,group C,some high school,free/reduced,0,17,10,none
male,group E,bachelor's degree,free/reduced,79,74,72,completed
male,group A,some high school,free/reduced,39,39,34,none
male,group A,associate's degree,free/reduced,62,61,55,none
female,group C,associate's degree,standard,69,80,71,none
female,group D,some high school,standard,59,58,59,none
male,group B,some high school,standard,67,64,61,none
male,group D,some high school,free/reduced,45,37,37,none
female,group C,some college,standard,60,72,74,none
male,group B,associate's degree,free/reduced,61,58,56,none
female,group C,associate's degree,standard,39,64,57,none
female,group D,some college,free/reduced,58,63,73,completed
male,group D,some college,standard,63,55,63,completed
female,group A,associate's degree,free/reduced,41,51,48,none
male,group C,some high school,free/reduced,61,57,56,none
male,group C,some high school,standard,49,49,41,none
male,group B,associate's degree,free/reduced,44,41,38,none
male,group E,some high school,standard,30,26,22,none
male,group A,bachelor's degree,standard,80,78,81,completed
female,group D,some high school,standard,61,74,72,completed
female,group E,master's degree,standard,62,68,68,none
female,group B,associate's degree,standard,47,49,50,none
male,group B,high school,free/reduced,49,45,45,none
male,group A,some college,free/reduced,50,47,54,completed
male,group E,associate's degree,standard,72,64,63,none
male,group D,high school,free/reduced,42,39,34,none
female,group C,some college,standard,73,80,82,none
female,group C,some college,free/reduced,76,83,88,none
female,group D,associate's degree,standard,71,71,74,none
female,group A,some college,standard,58,70,67,none
female,group D,some high school,standard,73,86,82,none
female,group C,bachelor's degree,standard,65,72,74,none
male,group C,high school,free/reduced,27,34,36,none
male,group C,high school,standard,71,79,71,none
male,group C,associate's degree,free/reduced,43,45,50,completed
female,group B,some college,standard,79,86,92,none
male,group C,associate's degree,free/reduced,78,81,82,completed
male,group B,some high school,standard,65,66,62,completed
female,group E,some college,standard,63,72,70,completed
female,group D,some college,free/reduced,58,67,62,none
female,group D,bachelor's degree,standard,65,67,62,none
male,group B,some college,standard,79,67,67,none
male,group D,bachelor's degree,standard,68,74,74,completed
female,group D,associate's degree,standard,85,91,89,none
male,group B,high school,standard,60,44,47,completed
male,group C,some college,standard,98,86,90,completed
female,group C,some college,standard,58,67,72,none
female,group D,master's degree,standard,87,100,100,none
male,group E,associate's degree,standard,66,63,64,completed
female,group B,associate's degree,free/reduced,52,76,70,none
female,group B,some high school,standard,70,64,72,none
female,group D,associate's degree,free/reduced,77,89,98,completed
male,group C,high school,standard,62,55,49,none
male,group A,associate's degree,standard,54,53,47,none
female,group D,some college,standard,51,58,54,none
female,group E,bachelor's degree,standard,99,100,100,completed
male,group C,high school,standard,84,77,74,none
female,group B,bachelor's degree,free/reduced,75,85,82,none
female,group D,bachelor's degree,standard,78,82,79,none
female,group D,some high school,standard,51,63,61,none
female,group C,some college,standard,55,69,65,none
female,group C,bachelor's degree,standard,79,92,89,completed
